Variable,Coefficient,Std_Error,T_Stat,P_Value,Significance
p_joy,0.00026862678073792125,7.968306630101768e-05,3.371190306898248,0.0007485936254685299,***
p_fear,-0.0003266366864562169,0.00010343629896952061,-3.1578535747152587,0.001589607628327494,***
p_sadness,-0.0001863221411175301,0.00010154624308730971,-1.8348501673009197,0.06652948943027792,*
p_anger,-0.0002173753141438992,6.0619765026528336e-05,-3.5858818332398963,0.00033602708408864146,***
p_disgust,-9.157416932086695e-05,6.474376214222371e-05,-1.4144091460070616,0.15724348047706238,
p_surprise,8.920921674983491e-05,4.291097863501701e-05,2.078936896513396,0.037624518188410505,**
ret_oc_lag1,0.4315,0.015588872832369942,27.68,0.0,***
ret_co,-0.0634,0.010837606837606838,-5.85,0.0,***
ret_past20,0.0137,0.0007195378151260504,19.04,0.0,***
volatility_183,0.0086,0.012285714285714287,0.7,0.486,
